,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ONTOLOGY(S),SOURCE(S),ontology_uri
37,Chlorobenzylidenemalononitrile,2-Chlorobenzylidenemalononitrile,CHEBI_188626,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_188626
38,Chlorobenzylidenemalononitrile,o-Chlorobenzylidenemalononitrile (substance),42328005,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/42328005
39,Lewisite,Lewisite (substance),74981003,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/74981003
40,Lewisite,Lewisite poisoning (disorder),45506003,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/45506003
41,Phosgene,Phosgene,NCIT_C163688,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C163688
42,Phosgene,phosgene,CHEBI_29365,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_29365
43,Sarin,sarin,CHEBI_75701,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_75701
44,Sarin,G-Series Nerve Agent GB,NCIT_C161526,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C161526
45,Political Unrest,nan,nan,,,
46,Argentine Hemorrhagic Fever,Argentine hemorrhagic fever,DOID_0050194,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_0050194
47,Avian influenza,avian influenza,DOID_4492,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_4492
48,Babesiosis,Babesiosis,NCIT_C84581,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C84581
49,Bartonellosis,bartonellosis,DOID_11102,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11102
50,Bolivian Hemorrhagic Fever,Bolivian hemorrhagic fever,DOID_0050195,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_0050195
51,Clostridium botulinum,Clostridium botulinum,NCBITaxon_1491,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1491
52,Clostridium botulinum,Clostridium putrificum,NCIT_C86289,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86289
53,Brucellosis,brucellosis,DOID_11077,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11077
54,Buruli ulcer (cutaneous mycobacterial disease),Buruli ulcer disease,DOID_0050456,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/genepio.owl,http://purl.obolibrary.org/obo/DOID_0050456
55,Chancroid,chancroid,DOID_13778,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_13778
56,Chikungunya virus disease,Chikungunya Virus Antibody Measurement,NCIT_C135404,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C135404
57,Chlamydial lymphogranuloma venereum (LGV),Lymphogranuloma Venereum,NCIT_C26822,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C26822
58,Cholera:,Cholera,OMIT_0004092,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0004092
59,Coccidioidomycosis,coccidioidomycosis,DOID_13450,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_13450
60,Crimean-Congo Hemorrhagic fever,Crimean-Congo hemorrhagic fever,DOID_12287,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_12287
61,Constipation,constipation,SYMP_0019180,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0019180
62,Constipation,constipation,DOID_2089,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_2089
63,Cough,cough,SYMP_0000614,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0000614
64,Cowpox,cowpox,DOID_8956,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_8956
65,Creutzfeldt-Jakob disease,Creutzfeldt-Jakob disease,DOID_11949,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11949
66,Cryptosporidiosis,cryptosporidiosis,DOID_1733,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_1733
67,Diarrhoea,diarrhea,SYMP_0000570,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0000570
68,Endemic,endemic,HSO_0000392,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/hso.owl,http://purl.obolibrary.org/obo/HSO_0000392
69,Enterobiasis,enterobiasis,DOID_7457,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_7457
70,Epidemic,Epidemic Disorder,NCIT_C171452,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C171452
71,Equine Encephalitis,Western equine encephalitis,EFO_0007546,http://www.ebi.ac.uk/efo/,http://www.ebi.ac.uk/efo/efo.owl,http://www.ebi.ac.uk/efo/EFO_0007546
72,Escherichia coli Infection,escherichia coli infection,MONDO_0020920,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/mondo.owl,http://purl.obolibrary.org/obo/MONDO_0020920
73,Fever,fever,SYMP_0000613,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0000613
74,Giardiasis,giardiasis,DOID_10718,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_10718
75,Gonorrhea,gonorrhea,DOID_7551,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_7551
76,H10N8,H10N8 subtype,NCBITaxon_286285,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_286285
77,H1N1,H1N1 Influenza,NCIT_C80444,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C80444
78,H1N1,Influenza A (H1N1) Virus,NCIT_C80445,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C80445
79,H1N1v,Inactivated Influenza split virion subtype H1N1v-like strain adjuvant vaccine (product),449000000,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/449000000
80,H1N1v,Inactivated Influenza split virion subtype H1N1v-like strain unadjuvanted vaccine (product),451000000,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/451000000
81,H1N2,H1N2 subtype,NCBITaxon_114728,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_114728
82,H1N2,"Influenza A Virus, H1N2 Subtype",OMIT_0026928,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0026928
83,H2N1,H2N1 subtype,NCBITaxon_114730,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_114730
84,H2N1,Influenza A virus (A/JapanxBellamy/57(H2N1)),NCBITaxon_152227,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_152227
85,H6N1,H6N1 subtype,NCBITaxon_119212,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_119212
86,H6N1,Influenza A virus (A/mallard/California/6404/2008(H6N1)),NCBITaxon_1042595,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1042595
87,Hepatitis,hepatitis,SYMP_0000046,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0000046
88,Hepatitis,hepatitis,DOID_2237,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_2237
89,Hepatitis A,hepatitis A,DOID_12549,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_12549
90,Hepatitis B,hepatitis B,DOID_2043,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_2043
91,Hepatitis C,Hepatitis C,OMIT_0007694,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0007694
92,Hepatitis C,hepatitis C,DOID_1883,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_1883
93,Hepatitis E,Hepatitis E,OMIT_0017198,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0017198
94,Hepatitis E,hepatitis E,DOID_4411,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_4411
95,Hepatitis E,Hepatitis E virus,OMIT_0017199,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0017199
96,Zoster (Herpes zoster),Herpes Zoster,NCIT_C71079,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C71079
97,HFMD,"hand, foot and mouth disease",EFO_0007294,http://www.ebi.ac.uk/efo/,http://www.ebi.ac.uk/efo/efo.owl,http://www.ebi.ac.uk/efo/EFO_0007294
98,Japanese Encephalitis,Japanese encephalitis,DOID_10844,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_10844
99,Kyasanur Forest Disease,Kyasanur forest disease,DOID_11320,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11320
100,Kyasanur Forest Disease,Kyasanur forest disease,MONDO_0017881,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/mondo.owl,http://purl.obolibrary.org/obo/MONDO_0017881
101,Lassa Fever,Lassa fever,DOID_9537,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_9537
102,Leishmaniasis,Leishmaniasis,NCIT_C34767,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C34767
103,Leprosy,leprosy,DOID_1024,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_1024
104,Leptospirosis,leptospirosis,DOID_2297,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_2297
105,Listeriosis,listeriosis,DOID_11573,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11573
106,Lyme disease,Lyme disease,DOID_11729,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11729
107,Malaria,malaria,DOID_12365,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/mondo.owl,http://purl.obolibrary.org/obo/DOID_12365
108,Marburg Hemorrhagic Fever,Marburg hemorrhagic fever,DOID_4327,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_4327
109,Measles,measles,DOID_8622,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_8622
110,Melioidosis,melioidosis,DOID_5052,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_5052
111,Meningitis,meningitis,DOID_9471,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_9471
112,Meningitis,meningitis,SYMP_0019173,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0019173
113,Microcephaly,microcephaly,DOID_10907,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_10907
114,MRSA,Methicillin Resistant Staphylococcus Aureus,NCIT_C123515,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C123515
115,Mumps,mumps,DOID_10264,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_10264
116,Norovirus,Norovirus,NCBITaxon_142786,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_142786
117,Nosocomial,Nosocomial Pneumonia,NCIT_C115297,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C115297
118,Onchocerciasis,onchocerciasis,DOID_11678,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11678
119,Pain,Pain,HP_0012531,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/hp.owl,http://purl.obolibrary.org/obo/HP_0012531
120,Paralysis,Paralysis,HP_0003470,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/hp.owl,http://purl.obolibrary.org/obo/HP_0003470
121,Paralysis,paralysis,SYMP_0000030,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0000030
122,Whooping cough,Whooping cough,HP_0031247,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/hp.owl,http://purl.obolibrary.org/obo/HP_0031247
123,Pneumonia,pneumonia,DOID_552,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_552
124,Poliomyelitis,poliomyelitis,DOID_4953,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_4953
125,Rash,rash,SYMP_0000487,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/symp.owl,http://purl.obolibrary.org/obo/SYMP_0000487
126,Rash,Skin Rash,NCIT_C39594,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C39594
127,Rash,exanthem,EFO_1000697,http://www.ebi.ac.uk/efo/,http://www.ebi.ac.uk/efo/efo.owl,http://www.ebi.ac.uk/efo/EFO_1000697
128,Respiratory Symptoms,respiratory symptom,GSSO_004096,http://purl.obolibrary.org/obo/, http://purl.obolibrary.org/obo/gsso.owl,http://purl.obolibrary.org/obo/GSSO_004096
129,Respiratory Symptoms,Respiratory System Signs and Symptoms,NCIT_C85403,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C85403
130,Rickettsialpox,rickettsialpox,DOID_11103,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11103
131,Sleeping Sickness,sleeping sickness,DOID_10112,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_10112
132,Sleeping Sickness,African Trypanosomiasis,NCIT_C84541,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C84541
133,SSPE,Subacute Sclerosing Panencephalitis,NCIT_C85171,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C85171
134,Trachoma,trachoma,DOID_11265,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11265
135,Tuberculosis,tuberculosis,DOID_399,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_399
136,Tungiasis,tungiasis,DOID_0050266,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_0050266
137,Typhoid fever,Typhoid Fever,NCIT_C35089,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C35089
138,Typhus,typhus,DOID_11256,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_11256
139,Visceral Leishmaniasis,visceral leishmaniasis,DOID_9146,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_9146
140,Yellow Fever,yellow fever,DOID_9682,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_9682
141,Yersinia Pestis,Yersinia pestis,NCBITaxon_632,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_632
142,Zika virus,Zika virus,NCBITaxon_64320,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_64320
143,Clostridium perfringens,Clostridium perfringens,NCBITaxon_1502,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1502
144,Rift Valley Fever,Rift Valley fever,DOID_1328,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/doid.owl,http://purl.obolibrary.org/obo/DOID_1328
145,diethanolamine,diethanolamine,CHEBI_28123,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_28123
146,Alkanes,alkane,CHEBI_18310,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_18310
147,Amines,amine,CHEBI_32952,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_32952
148,Ethers,ether,CHEBI_25698,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_25698
149,Chlorine,Chlorine,NCIT_C28140,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C28140
150,Furan,furan,CHEBI_35559,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_35559
151,Hydrazine,hydrazine,CHEBI_15571,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_15571
152,Isoprene,isoprene,CHEBI_35194,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/chebi.owl,http://purl.obolibrary.org/obo/CHEBI_35194
153,Alphavirus,Alphavirus,NCBITaxon_11019,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_11019
154,Chapare virus,Chapare virus (organism),451000000,http://snomed.info/id/,http://snomed.info/sct/900000000000207008,http://snomed.info/id/451000000
